Java,10,7,5,10,10
C,0,2,9,5,2
Python,9,9,1,9,10
C++,6,3,9,4,6
Cs,10,7,6,7,8
Visual Basic NET,10,8,6,1,9
JavaScript,7,5,5,9,5
PHP,8,8,7,1,4
SQL,0,7,6,4,0
Swift,10,3,5,2,4
Ruby,10,7,6,1,4
ObjectiveC,10,4,8,2,5
DelphiObject Pascal,9,4,7,3,7
Groovy,10,3,6,4,1
Assembly language,0,1,10,0,2
R,8,8,7,3,4
Visual Basic,9,7,5,1,4
D,8,6,6,4,2
MATLAB,8,5,5,3,3
Go,6,6,5,4,4
Perl,8,4,6,4,4
SAS,0,5,8,2,1
PLSQL,4,6,5,4,1
Dart,11,11,11,11,11
Rust,6,4,6,4,2
Scratch,4,10,2,5,0
Lisp,4,3,8,3,1
COBOL,4,1,8,1,1
Fortran,0,2,8,3,1
Scala,8,5,7,2,5
